period,sofr_percent,percentile_1_percent,percentile_25_percent,percentile_75_percent,percentile_99_percent,volume_billions,revision_indicator,footnote_id,source_record_sha256
2024-01-02,5.4,5.3,5.33,5.51,5.56,1948,,,d3c9bb63a3f2a4c7da87590c465ff5cc3c18338d2d0c532a2118fc15248f849b
2024-01-03,5.39,5.3,5.33,5.48,5.53,1832,,,ef25ee5be43a4b3e4901c67b2ea0dc8e06aa4d8518ffc5b26651441e305594e2
2024-01-04,5.32,5.29,5.31,5.4,5.44,1930,,,58c7abc8db8f2f45c2e733271d9376db9e9ea60be6d39a7d578773efeb1a8b01
2024-01-05,5.31,5.28,5.3,5.36,5.4,1674,,,9f2a99652286117a3f4ab5a898a5d1593944b958faf1296961ea7ae4bd5ac486
2024-01-08,5.31,5.28,5.3,5.36,5.4,1658,,,fd9786642213b89c498e63a25e1caf7e8557ce619c8e7ac91280572c56f690df
2024-01-09,5.31,5.28,5.3,5.36,5.4,1693,,,b167a5f6b92b079c30f71417421f5a849108d656440524f984742270404e12b3
2024-01-10,5.31,5.28,5.3,5.36,5.4,1660,,,54144d85f5d61c23c498a906c2667eb8ed1cbdadc8748fd95714373b8fd0eeb7
2024-01-11,5.31,5.28,5.3,5.36,5.4,1648,,,6de32d77333cdfd9f414e14a65c84aedfe9435154e49c7573390bb9220732870
2024-01-12,5.31,5.27,5.3,5.36,5.4,1590,,,59b1196342f7bf14ec565d2b70686e77b7933d5cab931ee44fe5faa816d08eb6
2024-01-16,5.32,5.28,5.31,5.38,5.42,1854,,,3d8bdcda01a2b10962544c53b2b4b30bd52fd62359249c6ec650585c2f103349
2024-01-17,5.32,5.28,5.31,5.37,5.42,1764,,,31b8b12d7b6dfe8bb86d0a6519f07fbcaa8930ec47a2be1f3c12e7b523ebb5f2
2024-01-18,5.31,5.27,5.3,5.34,5.4,1746,,,ef911b9ec5f175267913fdb5c77571d795c64d026d01ab7b85dc4b9e6a9a12ea
2024-01-19,5.31,5.26,5.3,5.33,5.37,1688,,,6d4dda363b4b222c4d5fdc9fc9ef92a3db02bc213ca074d69c10494ad030aa9c
2024-01-22,5.31,5.26,5.3,5.33,5.38,1595,,,3fc5c396d108983115146aa920b7188aa0c1e7c51ff55028601f29649d44e790
2024-01-23,5.31,5.26,5.3,5.34,5.38,1686,,,6c8f4445d8a1a913c42951b2ebfe43dce0505615f8da8bc70a9475a0fb44e59f
2024-01-24,5.31,5.26,5.3,5.36,5.4,1596,,,73b8783f04f50189baac6ae9fa7a2d3f0da48aab0e6c7e11057cf1a844dc38b7
2024-01-25,5.32,5.28,5.31,5.38,5.43,1768,,,33debb475b17af628f6f373be1bf6b734c9eadefff369bc550fa60873704a06d
2024-01-26,5.32,5.28,5.31,5.37,5.42,1712,,,98dc418bb94e5b4e749800f48bf2dfe69d09a395cc2f516df35e06f1997f5a86
2024-01-29,5.31,5.27,5.3,5.36,5.4,1598,,,4701117c5f42f816d0dafe2839453648f28b0bc9839bea59f377c8ebd54b7d8d
2024-01-30,5.31,5.28,5.3,5.36,5.4,1642,,,264f1e1862369178b3dc4c7141fd61e464893f778f693e7a5d0940b12b931bae
2024-01-31,5.32,5.28,5.31,5.4,5.43,1874,,,e54ab366040ff722ae7de70f5bfbdbebfa675332fea25edc6ece31beb35c18a5
2024-02-01,5.32,5.28,5.31,5.39,5.43,1897,,,2fd95a67e6a653689fab1d5b0703e34da124985d097b4fe6acc66e8e3906afa0
2024-02-02,5.32,5.28,5.31,5.39,5.44,1849,,,9ea71b9663b3ba5ff0671220843056007c09633158f79a21392d008b8cb72f81
2024-02-05,5.31,5.27,5.31,5.36,5.41,1731,,,354b4f76cc532823794a45dee59ed50aaaeb087008e87970f3f39b8eac2b8ec5
2024-02-06,5.31,5.28,5.31,5.36,5.4,1738,,,6a7a62bbc68eded738a44e8cc7559db4c36f06751a272f0756002d836e1f39d0
2024-02-07,5.31,5.27,5.3,5.35,5.4,1797,,,6be0bab5ccadb0cd6c4974f7a80d303a522f280be230eb4de3561e88aa7488df
2024-02-08,5.31,5.27,5.3,5.36,5.4,1669,,,1a0763cc590b85cfb19b492ec13e9c2a6f1fed73e2111e342bf3116070ace3e5
2024-02-09,5.31,5.27,5.3,5.36,5.4,1581,,,97cb3c2e83b992c5a158240fd032a4716811ce00e6a732bf76e5c62dddff712a
2024-02-12,5.31,5.27,5.3,5.35,5.4,1725,,,198ed82bad032949afca10d79c06c7a344b0df112e3e95448004d284797acbff
2024-02-13,5.31,5.27,5.3,5.34,5.39,1714,,,ca16884ab9a497ebf74773fc0357ca6614493bb64e761c1ef6f57b88795525f4
2024-02-14,5.3,5.26,5.3,5.32,5.38,1596,,,932ad9615b4f83c4376144618ff17d44ef0d1ed7fe270f6989a378cc545f9030
